segnum	locus	span	number	number50	number50.fgwas	prop.enriched.before	prop.enriched.after	prop.changed	atac.topsnps
28	CDC123/CAMK1D	27295	15	2	1	0.4	0.0666666666666667	0.333333333333333	TRUE
1	TCF7L2	4278	3	2	1	0.666666666666667	0.333333333333333	0.333333333333333	TRUE
33	KCNJ11	53505	22	3	1	0.318181818181818	0.0909090909090909	0.227272727272727	TRUE
89	SLC30A8	33132	6	2	1	0.333333333333333	0.166666666666667	0.166666666666667	TRUE
20	DGKB	61805	7	1	1	0.428571428571429	0.285714285714286	0.142857142857143	TRUE
80	ZBED3	49119	39	2	1	0.179487179487179	0.0512820512820513	0.128205128205128	TRUE
13	GIPR	30275	30	10	2	0.5	0.1	0.4	TRUE
40	KLHDC5	46005	61	12	2	0.409836065573771	0.147540983606557	0.262295081967213	TRUE
67	ADCY5	39117	11	3	2	0.454545454545455	0.272727272727273	0.181818181818182	TRUE
93	GLIS3	68429	359	22	2	0.181058495821727	0.0696378830083565	0.11142061281337	TRUE
60	PROX1	18286	21	3	2	0.333333333333333	0.238095238095238	0.0952380952380952	TRUE
22	GCK	44107	103	8	2	0.194174757281553	0.106796116504854	0.087378640776699	TRUE
71	LPP	79291	324	3	2	0.138888888888889	0.058641975308642	0.0802469135802469	TRUE
66	BCL11A	60315	26	3	2	0.307692307692308	0.230769230769231	0.0769230769230769	TRUE
68	PPARG	131493	42	5	2	0.214285714285714	0.19047619047619	0.0238095238095238	TRUE
70	ST64GAL1	75871	247	5	2	0.125506072874494	0.109311740890688	0.0161943319838057	TRUE
36	ARAP1 (CENTD2)	431949	26	6	3	0.423076923076923	0.192307692307692	0.230769230769231	TRUE
32	DUSP8	33166	186	5	3	0.129032258064516	0.102150537634409	0.0268817204301075	TRUE
25	NA	128332	105	10	4	0.238095238095238	0.161904761904762	0.0761904761904762	TRUE
44	NRXN3	387538	537	7	5	0.042830540037244	0.0391061452513966	0.0037243947858473	TRUE
56	LAMA1	20513	28	8	6	0.5	0.428571428571429	0.0714285714285715	TRUE
53	ZZEF1	406765	307	7	6	0.133550488599349	0.110749185667752	0.0228013029315961	TRUE
23	TP53INP1	384924	988	40	7	0.152834008097166	0.0738866396761134	0.0789473684210526	TRUE
30	VPS26A	186372	501	15	8	0.115768463073852	0.11377245508982	0.00199600798403195	TRUE
64	RBMS1	256651	88	20	10	0.420454545454545	0.329545454545455	0.0909090909090909	TRUE
48	PRC1	124708	75	12	10	0.346666666666667	0.32	0.0266666666666667	TRUE
57	CILP2	540001	1358	25	12	0.112665684830633	0.106038291605302	0.00662739322533137	TRUE
75	TMEM154	279178	523	26	13	0.189292543021033	0.1434034416826	0.0458891013384321	TRUE
16	THADA	295210	162	44	25	0.388888888888889	0.277777777777778	0.111111111111111	TRUE
78	PAM	1202394	2842	44	29	0.17558057705841	0.13652357494722	0.0390570021111893	TRUE
62	FAF1	970054	1903	139	117	0.161849710982659	0.151339989490279	0.0105097214923804	TRUE
95	PTPRD	1438977	7636	1156	571	0.301597695128339	0.24345206914615	0.0581456259821896	TRUE
