segnum	locus	span	number	number50	number50.fgwas	prop.enriched.before	prop.enriched.after	prop.changed	atac.topsnps
88	JAZF1	27365	11	3	1	0.636363636363636	0.0909090909090909	0.545454545454545	FALSE
13	GIPR	30275	30	10	2	0.5	0.1	0.4	TRUE
18	NA	5519	10	4	2	0.7	0.3	0.4	FALSE
28	CDC123/CAMK1D	27295	15	2	1	0.4	0.0666666666666667	0.333333333333333	TRUE
1	TCF7L2	4278	3	2	1	0.666666666666667	0.333333333333333	0.333333333333333	TRUE
11	CCND2	13180	3	2	2	0.666666666666667	0.333333333333333	0.333333333333333	FALSE
21	DGKB	18332	59	14	2	0.389830508474576	0.0677966101694915	0.322033898305085	FALSE
91	ANK1	111161	44	7	2	0.340909090909091	0.0454545454545455	0.295454545454545	FALSE
40	KLHDC5	46005	61	12	2	0.409836065573771	0.147540983606557	0.262295081967213	TRUE
37	MTNR1B	57591	56	5	1	0.25	0.0178571428571429	0.232142857142857	FALSE
36	ARAP1 (CENTD2)	431949	26	6	3	0.423076923076923	0.192307692307692	0.230769230769231	TRUE
33	KCNJ11	53505	22	3	1	0.318181818181818	0.0909090909090909	0.227272727272727	TRUE
49	FTO	43401	64	5	3	0.296875	0.109375	0.1875	FALSE
67	ADCY5	39117	11	3	2	0.454545454545455	0.272727272727273	0.181818181818182	TRUE
39	MPHOSPH9	504879	550	33	7	0.263636363636364	0.0872727272727273	0.176363636363636	FALSE
54	GIP/ATP5G1	164323	172	35	14	0.372093023255814	0.197674418604651	0.174418604651163	FALSE
89	SLC30A8	33132	6	2	1	0.333333333333333	0.166666666666667	0.166666666666667	TRUE
20	DGKB	61805	7	1	1	0.428571428571429	0.285714285714286	0.142857142857143	TRUE
10	CCND2	200520	102	6	1	0.186274509803922	0.0490196078431373	0.137254901960784	FALSE
80	ZBED3	49119	39	2	1	0.179487179487179	0.0512820512820513	0.128205128205128	TRUE
55	GLP2R	41164	87	17	11	0.413793103448276	0.28735632183908	0.126436781609195	FALSE
38	HNF1A (TCF1)	61763	16	5	3	0.4375	0.3125	0.125	FALSE
41	HMGA2	217849	107	6	2	0.196261682242991	0.0841121495327103	0.11214953271028	FALSE
93	GLIS3	68429	359	22	2	0.181058495821727	0.0696378830083565	0.11142061281337	TRUE
16	THADA	295210	162	44	25	0.388888888888889	0.277777777777778	0.111111111111111	TRUE
92	ABO	17935	40	4	1	0.2	0.1	0.1	FALSE
60	PROX1	18286	21	3	2	0.333333333333333	0.238095238095238	0.0952380952380952	TRUE
64	RBMS1	256651	88	20	10	0.420454545454545	0.329545454545455	0.0909090909090909	TRUE
22	GCK	44107	103	8	2	0.194174757281553	0.106796116504854	0.087378640776699	TRUE
71	LPP	79291	324	3	2	0.138888888888889	0.058641975308642	0.0802469135802469	TRUE
23	TP53INP1	384924	988	40	7	0.152834008097166	0.0738866396761134	0.0789473684210526	TRUE
52	HNF1B (TCF2)	6346	13	3	2	0.384615384615385	0.307692307692308	0.0769230769230769	FALSE
66	BCL11A	60315	26	3	2	0.307692307692308	0.230769230769231	0.0769230769230769	TRUE
25	NA	128332	105	10	4	0.238095238095238	0.161904761904762	0.0761904761904762	TRUE
35	LTBP3/EHBP1L1/KCNK7/MAP3K11	314375	83	8	2	0.216867469879518	0.144578313253012	0.072289156626506	FALSE
56	LAMA1	20513	28	8	6	0.5	0.428571428571429	0.0714285714285715	TRUE
